Account,Category,Parent,Type,FY 20-21 Actual,FY 20-21 Budget,FY 21-22 Actual,FY 21-22 Budget,FY 22-23 Actual,FY 22-23 Budget,FY 23-24 Actual,FY 23-24 Budget,FY 24-25 Actual,FY 24-25 Budget,FY 25-26 Actual,FY 25-26 Budget,FY 26-27 Actual,FY 26-27 Budget
6613,Payroll Expenses - Lakeside,6600,Operating Expense,,,,,0.00,45.00,,,,,,,,
6620,Furniture,6600,Operating Expense,3128.12,4500.00,3272.04,4500.00,3741.16,3000.00,2069.36,3800.00,480.72,2000.00,0.00,1200.00,0.00,1200.00
6625,Fish,6600,Operating Expense,,,4000.00,4000.00,4000.00,4000.00,4000.00,4000.00,2000.00,2000.00,3500.00,3500.00,0.00,3500.00
6640,Signs & Misc,6600,Operating Expense,101.24,500.00,552.99,500.00,453.16,500.00,0.00,500.00,229.70,500.00,0.00,500.00,0.00,500.00
6690,Misc Lake Expense,6600,Operating Expense,11792.17,13400.00,5280.90,6200.00,5390.81,7000.00,6612.94,6500.00,13380.89,6500.00,1397.69,3500.00,0.00,3500.00
6704,Roads - Wages,6700,Operating Expense,460.00,2000.00,22.60,580.00,5928.00,3000.00,3781.50,5000.00,234.00,2400.00,0.00,2200.00,0.00,2200.00
6704.5,Roads - Mileage Reimbursement,6700,Operating Expense,,,,,835.32,0.00,631.45,0.00,47.54,0.00,,,,
6705,Roads - Payroll Taxes,6700,Operating Expense,39.77,180.00,,,538.10,270.00,418.53,382.50,21.82,183.60,0.00,168.00,0.00,168.00
6706,Roads - Payroll Expenses,6700,Operating Expense,14.22,140.00,,,1.10,210.00,0.00,100.00,,,,,,
6710,FCR - Gravel,6700,Operating Expense,8851.07,20000.00,17364.25,18900.00,17941.18,25000.00,7514.50,25000.00,502.23,4000.00,539.61,4000.00,0.00,4000.00
6730,FCR - Mag Chlor,6700,Operating Expense,14535.29,12000.00,17831.98,17000.00,16843.20,25000.00,9996.63,25000.00,4575.00,10000.00,0.00,10000.00,0.00,10000.00
6740,Road Contracting,6700,Operating Expense,18019.68,10000.00,685.00,7500.00,2065.63,5000.00,2200.00,5000.00,2915.05,0.00,0.00,0.00,0.00,0.00
6750,Culverts,6700,Operating Expense,998.54,3000.00,2494.94,3000.00,110.92,300.00,2662.05,1000.00,963.27,3000.00,0.00,1500.00,0.00,1500.00
6760,Equipment Rentals,6700,Operating Expense,3269.90,5000.00,7110.49,1500.00,13408.71,5500.00,3479.10,5500.00,1363.15,0.00,600.00,1000.00,0.00,1000.00
6790,Road Sand,6700,Operating Expense,,,1009.12,500.00,418.81,500.00,366.85,800.00,887.89,800.00,,,,
6810,Mitigation Projects,6800,Operating Expense,180.00,500.00,15218.52,500.00,1545.68,1000.00,400.00,0.00,,,,,,
6820,Fire Mitigation - Admin Costs,6800,Operating Expense,3707.04,13500.00,1615.91,500.00,565.89,1000.00,1200.71,1000.00,384.48,1000.00,582.14,1000.00,0.00,1000.00
6830,Firewise - Wages,6800,Operating Expense,,,,,0.00,2000.00,,,,,,,,
6835,Fire Mitigation - Wages,6800,Operating Expense,,,,,59028.75,14500.00,43023.75,45000.00,41557.33,33000.00,430.50,35000.00,0.00,35000.00
6835.5,Fire Mitigation - Mileage,6800,Operating Expense,,,,,12232.44,0.00,9078.80,0.00,7214.27,5000.00,,,,
6835.10,Fire Mitigation - Payroll Taxes,6800,Operating Expense,,,,,5332.07,0.00,3617.96,3442.50,4193.70,2524.50,,,,
6840,Firewise - Payroll Taxes,6800,Operating Expense,,,,,0.00,180.00,,,,,,48.87,3028.00,0.00
6850,Firewise - Payroll Expense,6800,Operating Expense,255.25,300.00,,,0.00,140.00,0.00,900.00,,,,,,
6860,Fire Mitigation - Contractor,6800,Operating Expense,,,,,0.00,60000.00,55494.61,15000.00,28152.51,30000.00,51013.25,30000.00,0.00,30000.00
6880,Fire Mitigation - Fringes / Work Days,6800,Operating Expense,,,,,0.00,1500.00,,,785.54,1200.00,0.00,1000.00,0.00,1000.00
6885,Fire Mitigation - Equipment & Supplies,6800,Operating Expense,,,,,0.00,1500.00,6881.20,2500.00,12572.55,5500.00,1423.66,2500.00,0.00,2500.00
6890,Fire Mitigation - Supplies,6800,Operating Expense,,,,,816.00,0.00,2097.38,1500.00,,,,,,
6905,Internet Infrastructure,6900,Operating Expense,,,5710.94,0.00,2815.20,0.00,4200.00,4000.00,,,,,,
6910,Electricity - Pumps,6900,Operating Expense,2727.28,3000.00,2741.79,3120.00,2869.17,3120.00,2422.84,3000.00,2483.60,3000.00,1536.81,3000.00,0.00,3000.00
6915,SCADA Phone,6900,Operating Expense,1608.41,1900.00,1775.33,1763.04,1425.51,1763.04,441.88,300.00,449.42,450.00,306.94,450.00,0.00,450.00
6920,Water Tests,6900,Operating Expense,1794.28,7600.00,2881.92,7500.00,1455.33,7500.00,1172.17,3500.00,1850.50,8000.00,994.50,6000.00,0.00,6000.00
6921,Propane for Backup Generators,6900,Operating Expense,167.84,150.00,229.49,150.00,304.21,250.00,209.80,250.00,180.00,250.00,120.60,150.00,0.00,150.00
6925,Chemicals,6900,Operating Expense,42.64,250.00,701.20,200.00,141.73,600.00,274.56,600.00,490.00,400.00,336.00,650.00,0.00,650.00
6930,Genset Operations,6900,Operating Expense,1268.45,700.00,1137.84,700.00,1520.28,700.00,1084.22,600.00,769.99,1000.00,0.00,1000.00,0.00,1000.00
6940,System Repairs,6900,Operating Expense,361.16,6500.00,7608.53,6500.00,12928.12,5000.00,8653.57,5000.00,1077.45,5000.00,609.54,5000.00,0.00,5000.00
